,species,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate,year,basisOfRecord,license,issue
15,Quercus garryana,45.691417,-121.508637,12,2021-08-07T10:19:41,2021,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
16,Xerophyllum tenax,45.351495,-121.744087,4,2025-10-05T14:16,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
17,Quercus garryana,45.426574,-122.607579,24,2025-07-29T18:38:10,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
18,Populus trichocarpa,44.048983,-123.066055,NA,2021-11-28T10:10,2021,HUMAN_OBSERVATION,CC_BY_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
19,Quercus garryana,45.356655,-122.83189,5,2025-05-10T11:46:01,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
20,Xerophyllum tenax,45.61455,-123.51373,1,2017-06-17T12:00:46,2017,HUMAN_OBSERVATION,CC_BY_NC_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
21,Quercus garryana,43.735837,-122.455663,4,2025-05-14T13:58:51,2025,HUMAN_OBSERVATION,CC_BY_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
22,Quercus garryana,44.59257,-123.267304,4,2025-07-20T17:43,2025,HUMAN_OBSERVATION,CC0_1_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
23,Quercus garryana,43.756275,-122.62977,3370,2025-06-18T18:37:56,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
24,Xerophyllum tenax,43.371535,-123.064684,NA,2015-06-07T10:35,2015,HUMAN_OBSERVATION,CC0_1_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
25,Quercus garryana,45.364314,-122.608898,2,2023-05-07T15:16:48,2023,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
26,Quercus garryana,42.025897,-122.102443,NA,2025-10-18T14:44:09,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
27,Xerophyllum tenax,42.702,-123.077,NA,8/10/2017,2017,PRESERVED_SPECIMEN,CC0_1_0,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
28,Quercus garryana,45.022545,-123.147697,5,2018-04-03T09:14:55,2018,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
29,Quercus garryana,44.572026,-123.371792,596,2025-05-24T11:50:42,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
30,Quercus garryana,42.656605,-123.662533,NA,2025-07-14T16:01,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
31,Quercus garryana,42.277797,-121.886161,3,2025-06-08T17:52,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
32,Quercus garryana,45.597405,-122.400513,5,2025-05-31T09:13:43,2025,HUMAN_OBSERVATION,CC_BY_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
33,Populus trichocarpa,44.056144,-122.829556,9,2025-09-23T13:58:28,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
34,Quercus garryana,44.566168,-123.299513,NA,2025-05-06T09:25:45,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
35,Quercus garryana,45.220932,-121.392151,23,2025-05-17T13:44:23,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
36,Quercus garryana,42.121061,-122.049447,28,2025-09-13T14:40:23,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
37,Quercus garryana,42.297333,-121.877009,4,2025-06-16T18:02:57,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
38,Rubus ursinus,45.497557,-122.840629,8,2023-05-31T15:24:59,2023,HUMAN_OBSERVATION,CC_BY_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
39,Populus trichocarpa,45.490332,-122.303191,3,2025-10-29T10:16:33,2025,HUMAN_OBSERVATION,CC0_1_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
40,Xerophyllum tenax,45.404322,-121.767087,4,2025-10-07T12:29:45,2025,HUMAN_OBSERVATION,CC0_1_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
41,Quercus garryana,45.496626,-122.659922,3,2025-06-05T15:30:24,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
42,Quercus garryana,45.668196,-121.820215,4,2025-10-28T09:12:35,2025,HUMAN_OBSERVATION,CC0_1_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
43,Xerophyllum tenax,45.405804,-121.780238,21,2025-10-07T12:02:20,2025,HUMAN_OBSERVATION,CC0_1_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
44,Rubus ursinus,45.275841,-121.93967,4,2025-10-07T08:56:29,2025,HUMAN_OBSERVATION,CC0_1_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
45,Thuja plicata,45.272891,-121.937676,4,2025-10-07T09:31,2025,HUMAN_OBSERVATION,CC0_1_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
46,Populus trichocarpa,44.924857,-123.112842,4,2025-08-21T11:41:04,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
47,Quercus garryana,44.844482,-123.195618,24,2025-04-24T10:08:33,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
48,Quercus garryana,45.831047,-122.751,14,2025-05-30T18:58:36,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
49,Populus trichocarpa,45.283199,-117.209419,5,2025-10-09T08:26:07,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
50,Rubus ursinus,43.625399,-122.164696,5,2025-08-21T16:13,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
51,Rubus ursinus,45.964211,-123.683144,1,2025-05-25T15:59:14,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
52,Quercus garryana,42.275509,-123.265051,60,2025-10-20T14:32:44,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
53,Rubus ursinus,44.643392,-123.084443,30,2025-04-21T16:01:16,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
54,Quercus garryana,44.761822,-122.730087,NA,2024-09-09T10:44:14,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
55,Xerophyllum tenax,45.328716,-121.66108,4,2025-06-17T08:59:50,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
56,Rubus ursinus,43.344751,-123.188661,NA,2025-08-03T09:30,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
57,Quercus garryana,45.428319,-122.586058,7,2025-11-18T11:20:24,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
58,Rubus ursinus,44.866599,-123.255381,27253,2025-04-30T16:19:54,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
59,Xerophyllum tenax,44.504938,-123.550313,331,2025-06-28T13:34:51,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
60,Rubus ursinus,45.436662,-122.648422,27,2025-08-12T12:53:36,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
61,Quercus garryana,44.894428,-123.225342,27253,2025-05-09T17:48:30,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
62,Thuja plicata,45.516767,-122.717925,12,2024-08-10T12:02,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
63,Rubus ursinus,45.342308,-121.940997,NA,2021-05-13T11:08,2021,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
64,Rubus ursinus,44.782482,-123.23699,NA,2025-04-27T17:31:41,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
65,Xerophyllum tenax,45.293092,-121.800889,NA,2025-07-14T09:08:26,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
66,Rubus ursinus,45.346601,-121.937264,48,2025-11-29T11:14:18,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
67,Thuja plicata,45.471706,-122.722754,5,2025-11-27T12:51:14,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
68,Thuja plicata,45.501012,-122.839179,7,2025-12-19T14:26:29,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
69,Quercus garryana,44.934442,-123.029126,21,2025-08-23T14:32:25,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
70,Rubus ursinus,45.660563,-121.872863,4,2023-07-15T06:54:21,2023,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
71,Rubus ursinus,45.39553,-122.769578,4,2023-05-06T16:43:27,2023,HUMAN_OBSERVATION,CC_BY_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
72,Rubus ursinus,45.343013,-122.630387,4,2024-06-12T19:49:27,2024,HUMAN_OBSERVATION,CC_BY_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
73,Xerophyllum tenax,45.843972,-121.998962,4,2024-06-11T15:38:19,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
74,Thuja plicata,45.836334,-122.749438,4,2021-11-14T10:20:33Z,2021,HUMAN_OBSERVATION,CC_BY_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
75,Quercus garryana,45.419691,-122.53192,5,2016-06-03T14:38:21,2016,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
76,Rubus ursinus,44.775872,-123.085677,18,2025-10-11T11:03:28,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
77,Populus trichocarpa,45.50595,-122.437317,3,2023-06-07T10:37,2023,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
78,Rubus ursinus,45.865822,-122.704972,6,2025-08-01T17:22:17,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
79,Xerophyllum tenax,45.746058,-122.242127,364,2021-06-18T17:10:49,2021,HUMAN_OBSERVATION,CC_BY_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
80,Xerophyllum tenax,42.799644,-121.823131,31250,2017-06-06T20:53,2017,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
81,Quercus garryana,42.181315,-122.954942,10,2025-04-17T14:38:39,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
82,Xerophyllum tenax,45.74653,-122.239088,3,2025-07-04T14:00:18,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
83,Rubus ursinus,44.344374,-121.999592,4,2025-08-20T11:47:27,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
84,Rubus ursinus,43.082238,-123.611305,NA,2025-05-17T10:55:09,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
85,Quercus garryana,42.502587,-124.292529,NA,2025-08-16T20:23:52,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
86,Rubus ursinus,44.052105,-123.070092,337,2025-06-08T20:29:21,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
87,Rubus ursinus,44.886257,-123.31498,15,2025-07-07T17:13:36,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
88,Rubus ursinus,44.581353,-123.385712,4,2025-05-18T17:49:25,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
89,Rubus ursinus,44.926533,-123.074062,47,2025-05-28T20:00:39,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
90,Rubus ursinus,45.54649,-122.197365,14,2025-09-05T11:37:03,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
91,Rubus ursinus,45.422213,-122.70603,4,2025-08-14T09:23:29,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
92,Quercus garryana,45.305813,-123.262475,4,2025-10-23T12:41:33,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
93,Rubus ursinus,44.054343,-123.068542,650,2025-05-20T15:58:59,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
94,Rubus ursinus,44.053225,-123.068876,14,2025-05-20T15:58:38,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
95,Rubus ursinus,44.06461,-123.310037,6,2025-05-26T14:57:15,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
96,Rubus ursinus,45.44462,-122.68364,7,2025-07-01T13:47:42,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
97,Rubus ursinus,45.347975,-121.991339,2,2025-05-16T11:37:24,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
98,Rubus ursinus,44.065872,-123.315888,NA,2025-09-11T09:00,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
99,Rubus ursinus,43.88983,-122.827963,7,2025-08-19T09:54,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
100,Rubus ursinus,45.414597,-122.70748,4,2025-05-31T17:09:21,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
101,Rubus ursinus,45.295578,-122.349167,5,2025-05-25T09:21,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
102,Rubus ursinus,44.640788,-123.310938,6,2025-04-13T14:21:40,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
103,Quercus garryana,45.248683,-123.270548,4,2025-11-15T11:46:06,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
104,Rubus ursinus,42.428814,-124.428497,33,2025-07-18T12:27:03,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
105,Rubus ursinus,44.885872,-122.659247,NA,2025-09-12T13:09:45,2025,HUMAN_OBSERVATION,CC_BY_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
106,Rubus ursinus,45.370442,-122.615708,4,2023-10-07T16:54:49,2023,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
107,Rubus ursinus,44.010984,-122.957524,6,2025-06-17T10:12:45,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
108,Thuja plicata,45.668018,-121.957726,NA,2021-04-15T17:46:16,2021,HUMAN_OBSERVATION,CC0_1_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
109,Rubus ursinus,45.420589,-122.834285,9,2025-06-05T15:38:26,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
110,Rubus ursinus,45.388286,-122.837461,15,2025-06-13T14:02,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
111,Rubus ursinus,42.450665,-122.87515,9,2025-06-15T10:17:38,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
112,Rubus ursinus,44.465467,-121.639647,NA,2025-08-01T19:33,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
113,Quercus garryana,44.929113,-123.037436,311,2022-06-16T14:47,2022,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
114,Rubus ursinus,45.538979,-122.727814,NA,2025-07-04T11:48:33,2025,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
115,Populus trichocarpa,46.063699,-118.26121,NA,2024-02-10T13:34:42,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
